GeneName	Description	Process
RNASEL	Endoribonuclease, mediator of interferon action, which play a role in mediating resistance to virus infection and apoptosis. Might play a central role in the regulation of mRNA turnover	Translation
RPS19	Required for pre-rRNA processing and maturation of 40S ribosomal subunits (By similarity)	Translation
SBDS	May be involved in the biogenesis of the 60S ribosomal subunit and translational activation of ribosomes. May trigger the GTP-dependent release of eif6 from 60S pre-ribosomes in the cytoplasm, thereby activating ribosomes for translation competence by allowing 80S ribosome assembly and facilitating eif6 recycling to the nucleus, where it is required for 60S rRNA processing and nuclear export (By similarity)	Translation
TRMT5	Specifically methylates guanosine-37 in various tRNAs. Not dependent on the nature of the nucleoside 5' of the target nucleoside (By similarity)	Translation
RPL35A	ribosomal protein L35A	Translation
MRPL12	similarity:Belongs to the ribosomal protein L12P family	Translation
MRPS35	subunit:Component of the mitochondrial ribosome small subunit (28S) which comprises a 12S rRNA and about 30 distinct proteins	Translation
LRPPRC	May play a role in RNA metabolism in both nuclei and mitochondria. In the nucleus binds to HNRPA1-associated poly(A) mRNAs and is part of nmRNP complexes at late stages of mRNA maturation which are possibly associated with nuclear mRNA export. May bind mature mRNA in the nucleus outer membrane. In mitochondria binds to poly(A) mRNA. Plays a role in translation or stability of mitochondrially encoded cytochrome c oxidase (COX) subunits. May be involved in transcription regulation. Cooperates with PPARGC1A to regulate certain mitochondrially encoded genes and gluconeogenic genes and may regulate docking of PPARGC1A to transcription factors. Seems to be involved in the transcription regulation of the multidrug-related genes MDR1 and MVP. Part of a nuclear factor that binds to the invMED1 element of MDR1 and MVP gene promoters (By similarity). Binds single-stranded DNA	Translation
MRPL53	Component of the large subunit of mitochondrial ribosome	Translation
GFM1	similarity: Eukaryotes contain two protein translational systems, one in the cytoplasm and one in the mitochondria. Mitochondrial translation is crucial for maintaining mitochondrial function and mutations in this system lead to a breakdown in the respiratory chain-oxidative phosphorylation system and to impaired maintenance of mitochondrial DNA. This gene encodes one of the mitochondrial translation elongation factors. Its role in the regulation of normal mitochondrial function and in different disease states attributed to mitochondrial dysfunction is not known. [provided by RefSeq, Jul 2008],	Translation
MRPL34	similarity:Belongs to the ribosomal protein L34P family	Translation
MRPS15	similarity:Belongs to the ribosomal protein S15P familysubunit:Component of the mitochondrial ribosome small subunit (28S) which comprises a 12S rRNA and about 30 distinct proteins	Translation
MRPS23	subunit:Component of the mitochondrial ribosome small subunit (28S) which comprises a 12S rRNA and about 30 distinct proteins	Translation
MRPS27	similarity:Contains 2 PPR (pentatricopeptide) repeatssubunit:Component of the mitochondrial ribosome small subunit (28S) which comprises a 12S rRNA and about 30 distinct proteins	Translation
LARS2	catalytic activity:ATP + L-leucine + tRNA(Leu) = AMP + diphosphate + L-leucyl-tRNA(Leu)similarity:Belongs to the class-I aminoacyl-tRNA synthetase family	Translation
MRPL46	similarity:Belongs to the ribosomal protein L46 family	Translation
IARS2	catalytic activity:ATP + L-isoleucine + tRNA(Ile) = AMP + diphosphate + L-isoleucyl-tRNA(Ile)similarity:Belongs to the class-I aminoacyl-tRNA synthetase family	Translation
MRPL43	similarity:Belongs to the ribosomal protein S25/L51 familytissue specificity:Ubiquitous with the highest levels in the liver, heart and kidneys. The skeletal muscle, brain and testis showed lower but detectable expression. Expression is coregulated with PEO1	Translation
MRPL28	similarity:Belongs to the ribosomal protein L28P family	Translation
MTIF2	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)	Translation
MRRF	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)	Translation
MRPL2	similarity:Belongs to the ribosomal protein L2P family	Translation
GFM2	similarity: Eukaryotes contain two protein translational systems, one in the cytoplasm and one in the mitochondria. Mitochondrial translation is crucial for maintaining mitochondrial function and mutations in this system lead to a breakdown in the respiratory chain-oxidative phosphorylation system and to impaired maintenance of mitochondrial DNA. This gene encodes one of the mitochondrial translation elongation factors, which is a GTPase that plays a role at the termination of mitochondrial translation by mediating the disassembly of ribosomes from messenger RNA . Its role in the regulation of normal mitochondrial function and in disease states attributed to mitochondrial dysfunction is not known. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2013],	Translation
MRPL1	sequence caution:Translation N-terminally extendedsimilarity:Belongs to the ribosomal protein L1P family	Translation
MRPS2	similarity:Belongs to the ribosomal protein S2P familysubunit:Component of the mitochondrial ribosome small subunit (28S) which comprises a 12S rRNA and about 30 distinct proteins	Translation
MRPL44	Component of the 39S subunit of mitochondrial ribosome (By similarity)	Translation
GUF1	similarity:Belongs to the GTP-binding elongation factor family. LepA subfamily	Translation
MRPL10	similarity:Belongs to the ribosomal protein L10P familysubunit:Component of the mitochondrial ribosome large subunit (39S) which comprises a 16S rRNA and about 50 distinct proteins	Translation
MTO1	Involved in the 5-carboxymethylaminomethyl modification (mnm(5)s(2)U34) of the wobble uridine base in mitochondrial tRNAs	Translation
MRPL40	Component of the large subunit of mitochondrial ribosome	Translation
MRM1	Probably methylates the ribose of guanosine G-2270 in the peptidyl transferase center of the mitochondrial large ribosomal RNA (21S) (By similarity)	Translation
MRPS18A	similarity:Belongs to the ribosomal protein S18P familysubunit:Component of the mitochondrial ribosome small subunit (28S) which comprises a 12S rRNA and about 30 distinct proteins	Translation
MALSU1	similarity:Belongs to the Iojap family	Translation
YARS2	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction: tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)	Translation
MRPS28	subunit:Component of the mitochondrial ribosome small subunit (28S) which comprises a 12S rRNA and about 30 distinct proteins	Translation
MRPL3	similarity:Belongs to the ribosomal protein L3P family	Translation
MRPL4	similarity:Belongs to the ribosomal protein L4P family	Translation
MRPS14	similarity:Belongs to the ribosomal protein S14P familysubunit:Component of the mitochondrial ribosome small subunit (28S) which comprises a 12S rRNA and about 30 distinct proteins	Translation
MRPL33	similarity:Belongs to the ribosomal protein L33P family	Translation
MRPS12	similarity:Belongs to the ribosomal protein S12P familysubunit:Component of the mitochondrial ribosome small subunit (28S) which comprises a 12S rRNA and about 30 distinct proteins	Translation
MRPL24	similarity:Belongs to the ribosomal protein L24P familysimilarity:Contains 1 KOW domain	Translation
MRPL13	similarity:Belongs to the ribosomal protein L13P family	Translation
MRPL17	similarity:Belongs to the ribosomal protein L17P family	Translation
